"transaction_version","event_index","created_at","type","account_address","data","updated_at","deleted_at","creation_number","sequence_number","transaction_block_height","inserted_at"
110557,0,2023-11-29 03:06:57.996,"0x1::voting::CreateProposalEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""early_resolution_vote_threshold"":{""vec"":[""50000847671301291""]},""execution_hash"":""0x14bbbcc8b5ecd167b4527fc6f8caee3f9a12f93e8543eabaae696bf1eedec044"",""expiration_secs"":""1666241892"",""metadata"":{""data"":[{""key"":""metadata_hash"",""value"":""0x31323164623539383831643239333466306238306536366437316133383838353131646264353130376634383765303563313266336462373862303266613265""},{""key"":""metadata_location"",""value"":""0x68747470733a2f2f7261772e67697468756275736572636f6e74656e742e636f6d2f6170746f732d6c6162732f6d61696e6e65742d70726f706f73616c732f6d61696e2f6d657461646174612f302d7265647563652d696e6372656173652d6c696d69742d746f2d31302e6a736f6e""}]},""min_vote_threshold"":""40000000000000000"",""proposal_id"":""0""}",2023-11-29 03:06:57.996,,5,0,55050,2022-10-13 11:58:12.108 +0700
113048,0,2023-11-29 03:06:58.648,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""2173049575600268"",""proposal_id"":""0""}",2023-11-29 03:06:58.648,,8,0,56295,2022-10-13 12:08:26.586 +0700
115317,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100000000000000"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,7,57426,2022-10-13 12:17:40.510 +0700
115334,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100003196225539"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,8,57434,2022-10-13 12:17:44.201 +0700
115211,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""2173049575492629"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,1,57376,2022-10-13 12:17:18.549 +0700
115353,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100003196225539"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,9,57443,2022-10-13 12:17:47.908 +0700
115232,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""2166666666666670"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,2,57386,2022-10-13 12:17:23.205 +0700
115253,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""2166666666666670"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,3,57396,2022-10-13 12:17:27.588 +0700
115268,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""2166701292166670"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,4,57403,2022-10-13 12:17:30.689 +0700
115285,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""2166805171986805"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,5,57411,2022-10-13 12:17:34.091 +0700
115370,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100003196225539"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,10,57451,2022-10-13 12:17:51.329 +0700
115300,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100001598100000"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,6,57418,2022-10-13 12:17:37.028 +0700
115385,0,2023-11-29 03:06:59.138,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100001598100000"",""proposal_id"":""0""}",2023-11-29 03:06:59.138,,8,11,57458,2022-10-13 12:17:54.173 +0700
118933,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100004794376617"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,24,59223,2022-10-13 12:32:21.622 +0700
118732,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100004794376617"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,19,59125,2022-10-13 12:31:34.833 +0700
118489,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100004794376617"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,12,59007,2022-10-13 12:30:39.148 +0700
118524,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100001598100000"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,13,59024,2022-10-13 12:30:47.382 +0700
118557,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100001598100000"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,14,59040,2022-10-13 12:30:55.096 +0700
118592,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100000000000000"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,15,59057,2022-10-13 12:31:03.031 +0700
118627,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100001598100000"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,16,59074,2022-10-13 12:31:11.003 +0700
118664,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100000000000000"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,17,59092,2022-10-13 12:31:19.353 +0700
118697,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100000000000000"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,18,59108,2022-10-13 12:31:26.733 +0700
118990,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100004794376617"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,25,59251,2022-10-13 12:32:35.105 +0700
118793,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100003196225539"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,20,59155,2022-10-13 12:31:49.699 +0700
118828,0,2023-11-29 03:07:00.164,"0x1::voting::VoteEvent","0x0000000000000000000000000000000000000000000000000000000000000001","{""num_votes"":""100000000000000"",""proposal_id"":""0""}",2023-11-29 03:07:00.164,,8,21,59172,2022-10-13 12:31:57.805 +0700
